description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12,SFA,MUFA,PUFA
Mixtures,534,15.81,32.27,45.11,675,100,36.5,1.38,1.73,0,0,0,2.49,0.15,0.14,0.12,7.82,0.25,0,15.19,11.6,5.48
Dhal Vadai,351.19,15.64,14.2,36.47,"1,000.32",95.41,44.34,4.63,2.61,29.8,4.8,1.16,0.68,4.13,0.3,0.12,1.52,0.24,0,8.62,1.44,2.18
Boiled Bread Fruit,78.63,0.82,0.18,16.95,1.53,19.09,12.98,0.41,0.09,0,22.14,0,0.08,0.38,0.08,0.02,0.69,0.08,0,0.04,0.03,0.05
Boiled Jackfruit,38.23,1.53,0.08,7.19,2.29,0,22.94,0.31,0,22.94,0,0,0,0,0.04,0.04,0,0,0,0.02,0.02,0.02
Breadfruit Curry,90.53,1.37,2.62,13.69,267.43,19.27,22.73,0.85,0.18,1.21,20.39,0,0.4,2.34,0.07,0.03,0.55,0.09,0,2.03,0.37,0.14
Jackfruit Curry,71.61,2.18,4.51,4.73,482.86,22.65,41.3,0.75,0.28,22.68,18.63,4.45,0.92,15.18,0.04,0.04,0.37,0.11,0,3.41,0.51,0.32
Polos Curry,71.61,2.18,4.51,4.73,482.86,22.65,41.3,0.75,0.28,22.68,18.63,4.45,0.92,15.18,0.04,0.04,0.37,0.11,0,3.41,0.51,0.32
Cucumber Salad,16.93,0.76,0.16,2.86,150.64,12,15.42,0.26,0.17,11.59,12.12,0,0.14,6.66,0.04,0.03,0.17,0.07,0,0.06,0.02,0.03
Mallum,58.62,1.03,4.37,3.16,626.78,35.89,76.17,1.26,0.64,167.41,10.87,0,0.6,160.72,0.01,0.06,0.61,0.19,0,3.67,0.3,0.21
Parsley,36,2.97,0.79,3.03,56,50,138,6.2,1.07,421,133,0,0.75,"1,640.00",0.09,0.1,1.31,0.09,0,0.13,0.29,0.12
Snake Gourd And Onion Salad,23.06,1.59,0.28,3.28,167.03,21.13,24.72,0.42,0.17,14.43,9.23,0.44,0.2,11.2,0.04,0.03,0.36,0.14,0,0.07,0.04,0.08
