description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12
"Pie, peach",936.0,1.9,10.0,32.9,217.0,6.0,8.0,0.5,0.09,10.0,0.9,0.0,0.94,3.3,0.061,0.033,0.2,0.023,0.0,1.508,4.241,3.749
Pear,42,0.5,0.23,7,0,8,4,0,0.02,0,3.8,0,0.12,4.5,0.01,0.01,0.22,0.02,0,0.01,0.05,0.05
"Sauce, plum, ready-to-serve",770.0,0.89,1.04,42.81,538.0,12.0,12.0,1.43,0.19,2.0,0.5,0.0,0.0,0.0,0.018,0.084,1.014,0.078,0.0,0.153,0.24,0.588
Pomegranate,83,1.67,1.17,14.7,3,12,10,0.3,0.35,0,10.2,0,0.6,16.4,0.07,0.05,0.29,0.08,0,0.12,0.09,0.08
Coconut Roti,291.06,7.17,6.02,48.3,442.15,19.97,13.79,1.16,0.63,0.71,3.82,0,0.09,0.42,0.09,0.03,0.9,0.05,0,4.88,0.28,0.32
Guava,68,2.55,0.95,8.9,2,22,18,0.26,0.23,31,228,1.46,0.73,2.6,0.07,0.04,1.08,0.11,0,0.27,0.09,0.4
Avocado,160,2,14.7,1.83,7,29,12,0.55,0.64,7,10,0,2.07,21,0.07,0.13,1.74,0.26,0,2.13,9.8,1.82
"Potato, Boiled",87,1.87,0.1,18.3,4,22,5,0.31,0.3,0,13,0,0.01,2.2,0.11,0.02,1.44,0.3,0,0.03,0,0.04
Tomato Salad,29.23,1.06,0.17,5.33,410.03,12.13,18.25,0.35,0.18,24.87,27.7,0,0.33,5.84,0.04,0.03,0.41,0.11,0,0.04,0.02,0.06
"DENNY'S, onion rings",1613.0,5.29,22.23,41.05,780.0,20.0,22.0,0.74,0.55,0.0,0.0,0.0,1.23,50.6,0.12,0.07,0.863,0.089,0.0,3.729,4.611,10.56
"Garlic, raw",623.0,6.36,0.5,33.06,17.0,25.0,181.0,1.7,1.16,0.0,31.2,0.0,0.08,1.7,0.2,0.11,0.7,1.235,0.0,0.089,0.011,0.249
Carrot Curry,126.4,4.84,2.95,18.79,385.06,13.54,24.55,0.72,0.29,90.56,3.78,0.24,0.22,8.37,0.04,0.06,0.37,0.09,0.08,1.85,0.47,0.31
"Broccoli, raw",141.0,2.82,0.37,6.64,33.0,21.0,47.0,0.73,0.41,31.0,89.2,0.0,0.78,101.6,0.071,0.117,0.639,0.175,0.0,0.114,0.031,0.112
"Cabbage, Bolied",25.51,1.31,0.1,3.37,18.37,12.24,40.82,0.48,0.18,5.1,37.35,0,0.15,77.55,0.06,0.04,0.24,0.13,0,0.03,0.02,0.02
"Cauliflower, raw",104.0,1.92,0.28,4.97,30.0,15.0,22.0,0.42,0.27,0.0,48.2,0.0,0.08,15.5,0.05,0.06,0.507,0.184,0.0,0.13,0.034,0.031
"Spinach, Boiled",23.96,2.98,0.41,1.49,82.29,82.29,103.12,2.82,0.55,488.54,29.27,0,2.11,503.12,0.08,0.2,0.75,0.2,0,0.07,0.01,0.17
"Eggplant, pickled",49.0,0.9,0.7,9.77,1674.0,6.0,25.0,0.77,0.23,3.0,0.0,0.0,0.03,3.7,0.05,0.07,0.66,0.14,0.0,0.14,0.063,0.294
"Squash, zucchini, baby, raw",21.0,2.71,0.4,3.11,3.0,33.0,21.0,0.79,0.83,25.0,34.1,0.0,0.0,0.0,0.042,0.036,0.705,0.142,0.0,0.083,0.031,0.169
Pumpkin Curry,39.86,1.21,1.32,5.61,368.75,12.68,26.83,0.88,0.3,263.51,8.6,0,0.96,2.39,0.04,0.08,0.44,0.08,0,0.99,0.23,0.08
Corn Flakes,365,6.4,1.6,76,703,29,4,28,0.6,10,0,5,0.11,0,1.03,1.02,12.9,1.44,1.8,0.2,0.35,0.75
"Peas, edible-podded, raw",176.0,2.8,0.2,7.55,4.0,24.0,43.0,2.08,0.27,54.0,60.0,0.0,0.39,25.0,0.15,0.08,0.6,0.16,0.0,0.039,0.021,0.089
"Beans, snap, green, microwaved",33.0,2.31,0.5,6.41,3.0,28.0,55.0,0.83,0.38,0.0,7.3,0.0,0.0,0.0,0.078,0.075,0.773,0.124,0.0,0.0,0.0,0.0
Icing Cake,403,3.59,15.8,62.4,336,6,35,1.12,0.33,50,0,0.6,1.01,5.9,0.13,0.29,1.24,0.03,0.26,4.52,3.91,5.3
Chocolate Cake,399,3.63,15.9,57.1,332,36,116,3.6,1.04,1,1.9,0,1.09,10.6,0.04,0.08,0.93,0.14,0.06,4.88,8.52,1.82
"Cake, cheesecake, commercially prepared",1343.0,5.5,22.5,25.5,438.0,11.0,51.0,0.63,0.51,159.0,0.4,0.5,0.56,4.4,0.028,0.193,0.195,0.052,0.17,9.921,8.634,1.602
"Cookies, brownies, commercially prepared",1695.0,4.8,16.3,63.9,286.0,31.0,29.0,2.25,0.72,20.0,0.0,0.0,0.15,6.5,0.255,0.21,1.721,0.035,0.07,4.235,8.965,2.259
Potato pancakes,1123.0,6.08,14.76,27.81,764.0,36.0,32.0,1.67,0.7,32.0,27.6,0.3,0.23,2.7,0.158,0.173,1.672,0.448,0.29,2.496,3.73,7.516
"Waffles, buttermilk, frozen, ready-to-heat",1144.0,6.58,9.22,41.05,621.0,19.0,279.0,6.04,0.48,401.0,0.0,0.0,0.62,10.5,0.499,0.665,6.675,0.972,2.86,1.898,4.53,1.445
Bread Pudding,155,5.63,4.71,22.5,212,18,135,0.98,0.63,75,0.2,1.1,0.38,2.4,0.1,0.19,0.8,0.08,0.21,1.64,1.61,1.04
"Desserts, flan, caramel custard, prepared-from-recipe",145.0,4.53,4.03,22.78,53.0,9.0,83.0,0.38,0.47,46.0,0.0,0.0,0.23,0.2,0.032,0.21,0.082,0.044,0.36,1.799,1.266,0.392
Cassava Chips,515,1.34,25.9,65.5,296,46,52,0.72,0.85,0,0,0,2.78,5.3,0.05,0.03,1.2,0.13,0,9.69,8.44,7.77
"KFC, Popcorn Chicken",351.0,17.67,21.74,21.18,1140.0,28.0,32.0,1.42,0.98,0.0,0.0,0.0,1.32,17.4,0.177,0.13,8.108,0.502,0.14,3.954,5.66,10.093
"TACO BELL, Nachos",1466.0,4.32,21.5,34.91,313.0,42.0,63.0,0.75,0.86,5.0,0.0,0.0,4.08,7.5,0.123,0.133,0.63,0.215,0.07,2.173,14.02,5.04
Prawn Crackers,426,7.14,17.9,53.5,571,72,20,1.91,1.38,0,0,0,3.28,12.8,0.26,0.09,2.63,0.22,0.02,5.36,8,3.97
"Snacks, granola bars, hard, almond",2071.0,7.7,25.5,62.0,256.0,81.0,32.0,2.5,1.58,2.0,0.0,0.0,0.0,0.0,0.28,0.07,0.61,0.047,0.0,12.51,7.74,3.76
"Snacks, trail mix, regular",1933.0,13.8,29.4,44.9,229.0,158.0,78.0,3.05,3.22,1.0,1.4,0.0,0.0,0.0,0.462,0.198,4.712,0.298,0.0,5.55,12.53,9.65
"Snacks, rice cakes, brown rice, buckwheat",380.0,9.0,3.5,80.1,116.0,151.0,11.0,1.14,2.5,0.0,0.0,0.0,0.0,0.0,0.056,0.103,8.096,0.13,0.0,0.64,1.11,1.11
"Fast foods, crispy chicken, bacon, and tomato club sandwich, with cheese, lettuce, and mayonnaise",1077.0,15.38,11.76,22.61,605.0,31.0,92.0,1.32,1.17,32.0,3.8,0.2,0.5,8.4,0.176,0.169,4.748,0.279,0.46,3.372,4.5,3.207
"Fast foods, grilled chicken in tortilla, with lettuce, cheese, and ranch sauce",927.0,13.77,10.31,18.43,577.0,20.0,93.0,1.45,0.77,29.0,0.4,0.0,0.45,17.7,0.17,0.233,5.333,0.194,0.2,3.363,2.313,3.415
"Fast foods, submarine sandwich, meatball marinara on white bread",917.0,9.77,8.45,26.01,437.0,29.0,176.0,2.32,1.19,15.0,0.4,0.0,0.79,6.6,0.25,0.253,3.547,0.132,0.55,3.124,3.573,1.125
"Eggs, scrambled, frozen mixture",131.0,13.1,5.6,7.5,162.0,10.0,17.0,0.23,0.14,21.0,0.0,1.8,0.84,1.8,0.01,0.3,0.09,0.01,0.17,1.052,2.339,1.778
"French toast, frozen, ready-to-heat",891.0,7.4,6.1,32.1,495.0,17.0,107.0,2.21,0.77,54.0,0.3,0.0,0.0,0.0,0.277,0.381,2.722,0.496,1.68,1.533,2.04,1.227
"Fast foods, breakfast burrito, with egg, cheese, and sausage",1159.0,11.1,15.63,22.97,744.0,18.0,132.0,2.28,1.09,79.0,0.5,0.8,0.94,4.4,0.21,0.417,2.133,0.102,0.74,6.404,5.073,3.366
Milk and cereal bar,413.0,6.47,10.98,72.05,319.0,21.0,410.0,5.99,0.84,188.0,15.4,1.7,0.42,2.5,0.615,0.696,8.194,0.819,2.0,9.114,1.186,0.239
"DENNY'S, hash browns",197.0,2.49,8.99,26.59,468.0,26.0,17.0,0.56,0.29,0.0,0.0,0.0,0.55,32.6,0.007,0.048,2.17,0.203,0.0,1.689,2.035,5.029
"Pickle relish, hot dog",91.0,1.5,0.46,23.35,1091.0,19.0,5.0,1.25,0.21,8.0,1.0,0.0,0.0,0.0,0.04,0.04,0.5,0.015,0.0,0.044,0.227,0.11
